link,result,skill_bracket,lobby_type,game_mode,region,duration,match_date,hero,final_lvl,k,d,a,net,lh,dn,gpm,xpm,dmg,heal,bld,wards,final_items,team_k,team_d,team_a,team_net,team_lh,team_dn,team_gpm,team_xpm,team_dmg,team_heal,team_bld,team_wards
/matches/5414330682,won,Normal Skill,Normal,Turbo,SE Asia,27:56:00,14/5/2020,Juggernaut,29,2,4,13,24.6k,135,6,904,1.5k,13.7k,8.9k,2.6k,0,"Phase Boots,Abyssal Blade,Battle Fury,Wraith Band,Butterfly,Dust of Appearance,Repair Kit",33,19,56,120.7k,670,20,4.9k,7.9k,122.9k,8.9k,25.3k,0
/matches/5414233484,won,Normal Skill,Normal,Turbo,SE Asia,17:58,14/5/2020,Sniper,18,2,4,2,10.6k,55,11,593,831,9.0k,-,243,0,"Dragon Lance,Boots of Travel,Wraith Band,Power Treads,Observer and Sentry Wards,Maelstrom,Vampire Fangs,Tango",17,21,25,66.2k,339,30,3.8k,6.8k,61.4k,360,12.3k,0
/matches/5414132891,won,Normal Skill,Normal,Turbo,SE Asia,23:39,14/5/2020,Viper,23,2,4,12,15.7k,72,3,750,1.1k,13.6k,1.5k,989,5-Jun,"Wraith Band,Power Treads,Sentry Ward,Blade Mail,Guardian Greaves,Orchid Malevolence,Imp Claw",24,12,39,104.0k,597,24,4.9k,6.2k,60.7k,1.8k,24.0k,Nov-16
/matches/5414077224,won,Normal Skill,Normal,Turbo,SE Asia,25:33:00,14/5/2020,Sniper,27,6,5,12,21.2k,106,21,955,1.6k,23.3k,-,3.8k,-/-,"Wraith Band,Power Treads,Hurricane Pike,Mjollnir,Daedalus,Ocean Heart",30,25,51,90.7k,413,39,4.1k,6.8k,86.1k,1.3k,14.2k,13-Oct
/matches/5412766869,lost,Normal Skill,Normal,Turbo,SE Asia,24:47:00,13/5/2020,Sniper,25,2,8,9,14.1k,64,4,600,1.2k,13.4k,-,159,-/-,"Wraith Band,Wraith Band,Power Treads,Dragon Lance,Maelstrom,Divine Rapier,Grove Bow",11,43,39,59.3k,336,7,2.6k,5.9k,94.2k,-,523,11-Aug
/matches/5412608796,lost,Normal Skill,Normal,Turbo,SE Asia,44:47:00,13/5/2020,Juggernaut,30,5,9,16,27.1k,218,10,786,1.4k,17.9k,10.1k,2.3k,0,"Phase Boots,Battle Fury,Butterfly,Abyssal Blade,Linken's Sphere,Morbid Mask,Imp Claw",36,45,57,122.1k,765,26,3.7k,6.8k,130.4k,10.4k,6.5k,0
/matches/5412581081,lost,Normal Skill,Normal,Turbo,SE Asia,21:06,13/5/2020,Sniper,23,3,10,3,10.4k,72,8,502,1.2k,15.3k,-,25,0,"Tango,Wraith Band,Wraith Band,Power Treads,Mjollnir,Ocean Heart",16,40,33,40.8k,223,21,2.1k,6.5k,73.5k,7.5k,94,0
/matches/5412374530,lost,Normal Skill,Normal,Turbo,SE Asia,23:31,13/5/2020,Sniper,24,4,6,3,15.7k,100,7,650,1.2k,17.5k,-,111,0,"Tango,Wraith Band,Power Treads,Mjollnir,Daedalus,Crystalys,Vampire Fangs",16,35,26,59.7k,327,47,2.7k,6.5k,81.0k,1.1k,2.2k,0
/matches/5412353199,lost,Normal Skill,Normal,Turbo,SE Asia,20:40,13/5/2020,Troll Warlord,19,-,3,2,6.2k,43,6,295,872,4.0k,-,-,0,"Morbid Mask,Quelling Blade,Shadow Blade,Phase Boots",2,30,9,32.6k,244,18,1.6k,4.5k,27.0k,-,977,0
/matches/5412331257,won,Normal Skill,Normal,Turbo,SE Asia,21:34,13/5/2020,Sniper,25,4,1,5,22.4k,151,28,1.0k,1.3k,9.8k,-,5.3k,0,"Mjollnir,Wraith Band,Wraith Band,Wraith Band,Power Treads,Hurricane Pike,Tango",13,11,24,87.7k,534,50,4.2k,6.1k,39.1k,400,18.5k,0
/matches/5411828872,lost,Normal Skill,Normal,Turbo,SE Asia,30:00:00,12/5/2020,Monkey King,27,4,8,14,17.0k,76,1,593,1.4k,16.7k,-,971,0,"Phase Boots,Quelling Blade,Dust of Appearance,Silver Edge,Echo Sabre,Black King Bar,Dragon Scale,Wraith Band",27,35,62,78.0k,336,18,3.1k,6.6k,101.1k,1.7k,10.0k,0
